午后のあくび: Vocabulary for 午后のあくび
Word;Kana;Translation;Level
わ;わ;indicates emotion or admiration;Week 1
遅刻;ちこく;"lateness; tardiness; arriving late";Week 1
乗り遅れる;のりおくれる;to miss (a train, bus, etc.);Week 1
ちゃった;ちゃった;"finished doing; did completely";Week 1
ほほほ;ほほほ;ho-ho;Week 1
困る;こまる;"to be troubled; to have difficulty; to be in a fix; to be at a loss; to be stumped; to be embarrassed";Week 1
行き先;いきさき;destination;Week 1
近道;ちかみち;"short way; shortcut";Week 1
教える;おしえる;"to teach; to instruct";Week 1
たげる;たげる;to do for (the sake of someone else);Week 1
こっち;こっち;"this way; this direction";Week 1
ちょっと;ちょっと;"a little; a bit; slightly";Week 1
舞う;まう;to dance (orig. a whirling dance);Week 1
あんた;あんた;you;Week 1
ノロマ;ノロマ;"blockhead; dunce; dimwit; dolt; slowcoach; slowpoke";Week 1
ねえ;ねえ;"right?; isn't it?; doesn't it?; don't you?; don't you think?";Week 1
こんな;こんな;"this sort of; this kind of; like this; such";Week 1
道;みち;"road; path; street; lane; passage";Week 1
歩く;あるく;to walk;Week 1
久しい;ひさしい;"long (time that has passed); old (story)";Week 1
なあ;なあ;"hey; listen; look; say";Week 1
味;あじ;"flavor; flavour; taste";Week 1
線;せん;"line; stripe; stria";Week 1
ちゃんと;ちゃんと;"diligently; seriously; earnestly; reliably; steadily; legitimately";Week 1
ついて;ついて;"about; concerning; as to; regarding";Week 1
うん;うん;"yes; yeah; uh huh";Week 1
寄り道;よりみち;"dropping in on the way; stopping off at; making a side trip";Week 1
為る;する;"to do; to carry out; to perform";Week 1
亀;かめ;"tortoise; turtle";Week 1
有る;ある;"to be; to exist; to live";Week 1
わよ;わよ;emphatic sentence-ending particle;Week 1
はい;はい;"yes; that is correct";Week 1
ちょうど;ちょうど;"exactly; precisely; just; right";Week 1
目の前;めのまえ;"before one's eyes; in front of one; under one's nose";Week 1
抜ける;ぬける;"to come out; to fall out; to be omitted; to be missing; to escape; to come loose";Week 1
すぐ;すぐ;"immediately; at once; right away; directly";Week 1
すごい;すごい;"terrible; dreadful";Week 1
バス;バス;bus;Week 1
早く;はやく;"early; soon";Week 1
着;ちゃく;counter for suits of clothing;Week 1
おかげで;おかげで;"thanks to ...; owing to ...; because of ...";Week 1
助かる;たすかる;"to be saved; to be rescued; to survive";Week 1
ました;ました;"right under; directly below";Week 1
お礼;おれい;"thanks; gratitude";Week 1
要る;いる;"to need; to want";Week 1
そんなもの;そんなもの;"that's the way it is; such is life";Week 1
でも;でも;"but; however; though; nevertheless; still; yet; even so; also; as well";Week 1
うなぎ;うなぎ;eel (esp. the Japanese eel, Anguilla japonica);Week 1
蒲焼き;かばやき;loach or eel dipped and broiled in soy-based sauce;Week 1
まるまる;まるまる;"plump; rotund; chubby";Week 1
一尾;いちび;"one fish; one shrimp";Week 1
小豆;あずき;adzuki bean (Vigna angularis);Week 1
神社;じんじゃ;Shinto shrine;Week 1
持ってくる;もってくる;"to bring; to take (something) along; to fetch; to get";Week 1
ちょうだい;ちょうだい;"receiving; reception; getting; being given";Week 1
高い;たかい;"high; tall";Week 1
過ぎる;すぎる;"to pass through; to pass by; to go beyond";Week 1
じゃあ;じゃあ;"then; well; so; well then";Week 1
マグロ;マグロ;"tuna (edible fish, Thunnus spp.); tunny";Week 1
刺身;さしみ;sashimi (raw sliced fish, shellfish or crustaceans);Week 1
いい;いい;"good; excellent; fine; nice; pleasant; agreeable";Week 1
仕事;しごと;"work; job; labor; labour; business; task; assignment; occupation; employment";Week 1
帰り;かえり;"return; coming back";Week 1
いいから;いいから;"never mind that; don't worry about that";Week 1
ボン;ボン;good;Week 1
ひとつ;ひとつ;one;Week 1
かみ;かみ;"god; deity; divinity; spirit; kami";Week 1
ダメ;ダメ;"no good; not serving its purpose; useless; broken";Week 1
タイ;タイ;Thailand;Week 1
かしら;かしら;"I wonder; do you think?; I might; how about";Week 1
付く;つく;"to be attached; to be connected with; to adhere; to stick; to cling";Week 1
